Open,High,Low,Close,Adj Close,Volume
7.376429,7.392857,7.285714,7.355714,6.270142,374320800
7.3075,7.3075,7.135714,7.161071,6.104224,542326400
7.1125,7.156786,7.062857,7.14,6.086264,406666400
7.25,7.357143,7.248214,7.352857,6.267707,474896800
7.333214,7.352857,7.246429,7.301429,6.223868,318438400
7.335714,7.344643,7.277143,7.2925,6.216257,286454000
7.115,7.248571,7.084643,7.163929,6.106662,295257200
7.1825,7.202857,7.098929,7.139643,6.08596,424858000
7.222857,7.241786,7.029643,7.034643,5.996454,465763200
7.105714,7.193571,6.991071,7.008214,5.973927,715260000
7.050714,7.106429,7.009643,7.017143,5.981539,448719600
7.132143,7.138571,6.795714,6.904286,5.885337,826884800
6.904286,6.920357,6.738571,6.748214,5.752298,714758800
6.762857,6.869643,6.739286,6.781071,5.780307,690398800
6.831429,7.077143,6.796786,7.064286,6.021724,684782000
7.125,7.132143,7.004286,7.015357,5.980015,489669600
7.063571,7.071429,6.908214,6.9525,5.926436,429774800
6.9775,7.051071,6.877143,7.035,5.996758,495790400
6.993929,7.053929,6.9025,6.934643,5.911212,419459600
6.967857,7.017857,6.948214,6.965357,5.937396,352984800
6.937857,6.964286,6.821429,6.852143,5.840889,388838800
6.898929,6.982143,6.878571,6.979643,5.949573,608770400
7.001786,7.133929,6.988214,7.079643,6.034814,611906400
7.122857,7.173214,7.095,7.155714,6.099658,349515600
7.185714,7.227857,7.171786,7.217857,6.15263,345525600
7.269643,7.476786,7.2625,7.465714,6.363908,500889200
7.561429,7.641071,7.486071,7.5575,6.442149,644565600
7.593929,7.597143,7.454643,7.467857,6.365734,445205600
7.458214,7.571429,7.439643,7.558571,6.443061,412084400
7.611786,7.619643,7.52,7.526071,6.415359,352410800
7.6225,7.660714,7.585,7.643214,6.515212,493729600
7.664286,7.699643,7.616071,7.656429,6.526476,601904800
7.656429,7.686786,7.526786,7.534643,6.422663,552160000
7.5625,7.571429,7.466071,7.520714,6.41079,477131200
7.510714,7.571429,7.466429,7.570714,6.453412,447610800
7.6,7.607143,7.444643,7.503929,6.396483,462229600
7.471071,7.491786,7.372143,7.418571,6.323721,594459600
7.423929,7.533214,7.289286,7.523214,6.412921,605892000
